graph_id,family,encoding_id,vertex_count,edge_count,code_length,minimum_injective_length,excess_bits,L_max,L_max_edge_count,L_99,L_95,L_mean,L_standard_deviation,L_minimum,unordered_pair_count,spearman_angular_hamming_correlation,mean_absolute_distortion,root_mean_squared_distortion,maximum_absolute_distortion,mean_normalised_hamming_distance,mean_normalised_angular_distance,far_pair_count,far_minimum_raw_hamming_distance,far_mean_raw_hamming_distance,far_minimum_normalised_hamming_distance,far_mean_normalised_hamming_distance,antipodal_pair_count,antipodal_minimum_raw_hamming_distance,antipodal_maximum_raw_hamming_distance,antipodal_mean_raw_hamming_distance,antipodal_minimum_normalised_hamming_distance,antipodal_mean_normalised_hamming_distance,collision_count,unique_codeword_count,largest_collision_class_size,multi_member_collision_class_count,constant_bit_count,maximum_absolute_deviation_from_half,mean_absolute_deviation_from_half,duplicate_bit_column_pair_count,complementary_bit_column_pair_count,maximum_absolute_pearson_correlation
primitive_q2_knn4,primitive_integer_directions,cartesian_coordinate_binary,98,264,9,7,2,8,3,8,6,2.8181818181818183,1.6134763044817135,1,4753,0.19906156442898687,0.21256045349245833,0.2616121027615012,0.8888888888888888,0.4242232975664493,0.5051546391548147,745,1,4.159731543624161,0.1111111111111111,0.4621923937360179,49,1,3,2.510204081632653,0.1111111111111111,0.2789115646258503,0,98,1,0,0,0.33673469387755106,0.14285714285714285,0,0,0.4508348173337162
primitive_q2_knn4,primitive_integer_directions,cartesian_coordinate_gray,98,264,9,7,2,3,24,3,3,1.5454545454545454,0.6555547773570889,1,4753,0.6390773472108742,0.14259812594313603,0.1873751316150867,0.7777777777777778,0.4198050354162284,0.5051546391548147,745,2,5.097986577181208,0.2222222222222222,0.5664429530201343,49,2,6,5.020408163265306,0.2222222222222222,0.5578231292517006,0,98,1,0,0,0.33673469387755106,0.16666666666666666,0,0,0.37463432463267765
primitive_q2_knn6,primitive_integer_directions,canonical_index_binary,98,336,7,7,0,7,2,6,5,2.9702380952380953,1.3926917891267736,1,4753,0.1300442896601504,0.2140369298817799,0.2663338507043866,0.9015807092018451,0.49150912205824887,0.5051546391548147,745,1,3.578523489932886,0.14285714285714285,0.5112176414189837,49,1,5,3.857142857142857,0.14285714285714285,0.5510204081632653,0,98,1,0,0,0.15306122448979592,0.04956268221574345,0,0,0.44117647058823534
primitive_q2_knn6,primitive_integer_directions,canonical_index_gray,98,336,7,7,0,6,7,6,5,2.767857142857143,1.2862515411889248,1,4753,0.2179290817443592,0.20258916466738874,0.25149944772999727,0.8571428571428572,0.49150912205824887,0.5051546391548147,745,1,3.840268456375839,0.14285714285714285,0.5486097794822626,49,1,5,4.1020408163265305,0.14285714285714285,0.58600583090379,0,98,1,0,0,0.15306122448979592,0.04956268221574344,0,0,0.4411764705882354
primitive_q2_knn6,primitive_integer_directions,cartesian_coordinate_binary,98,336,9,7,2,8,3,7,6,3.0714285714285716,1.6350747346085137,1,4753,0.19906156442898687,0.21256045349245833,0.2616121027615012,0.8888888888888888,0.4242232975664493,0.5051546391548147,745,1,4.159731543624161,0.1111111111111111,0.4621923937360179,49,1,3,2.510204081632653,0.1111111111111111,0.2789115646258503,0,98,1,0,0,0.33673469387755106,0.14285714285714285,0,0,0.4508348173337162
primitive_q2_knn6,primitive_integer_directions,cartesian_coordinate_gray,98,336,9,7,2,3,48,3,3,1.7142857142857142,0.6998542122237651,1,4753,0.6390773472108742,0.14259812594313603,0.1873751316150867,0.7777777777777778,0.4198050354162284,0.5051546391548147,745,2,5.097986577181208,0.2222222222222222,0.5664429530201343,49,2,6,5.020408163265306,0.2222222222222222,0.5578231292517006,0,98,1,0,0,0.33673469387755106,0.16666666666666666,0,0,0.37463432463267765
primitive_q2_knn8,primitive_integer_directions,canonical_index_binary,98,444,7,7,0,7,3,6,5,3.02027027027027,1.4036772552349386,1,4753,0.1300442896601504,0.2140369298817799,0.2663338507043866,0.9015807092018451,0.49150912205824887,0.5051546391548147,745,1,3.578523489932886,0.14285714285714285,0.5112176414189837,49,1,5,3.857142857142857,0.14285714285714285,0.5510204081632653,0,98,1,0,0,0.15306122448979592,0.04956268221574345,0,0,0.44117647058823534
primitive_q2_knn8,primitive_integer_directions,canonical_index_gray,98,444,7,7,0,6,8,6,5,2.81981981981982,1.2888866499285079,1,4753,0.2179290817443592,0.20258916466738874,0.25149944772999727,0.8571428571428572,0.49150912205824887,0.5051546391548147,745,1,3.840268456375839,0.14285714285714285,0.5486097794822626,49,1,5,4.1020408163265305,0.14285714285714285,0.58600583090379,0,98,1,0,0,0.15306122448979592,0.04956268221574344,0,0,0.4411764705882354
primitive_q2_knn8,primitive_integer_directions,cartesian_coordinate_binary,98,444,9,7,2,8,3,7,6,3.108108108108108,1.6071425672776762,1,4753,0.19906156442898687,0.21256045349245833,0.2616121027615012,0.8888888888888888,0.4242232975664493,0.5051546391548147,745,1,4.159731543624161,0.1111111111111111,0.4621923937360179,49,1,3,2.510204081632653,0.1111111111111111,0.2789115646258503,0,98,1,0,0,0.33673469387755106,0.14285714285714285,0,0,0.4508348173337162
primitive_q2_knn8,primitive_integer_directions,cartesian_coordinate_gray,98,444,9,7,2,3,48,3,3,1.7297297297297298,0.6429933650470443,1,4753,0.6390773472108742,0.14259812594313603,0.1873751316150867,0.7777777777777778,0.4198050354162284,0.5051546391548147,745,2,5.097986577181208,0.2222222222222222,0.5664429530201343,49,2,6,5.020408163265306,0.2222222222222222,0.5578231292517006,0,98,1,0,0,0.33673469387755106,0.16666666666666666,0,0,0.37463432463267765
primitive_q3_knn4,primitive_integer_directions,canonical_index_binary,290,744,9,9,0,9,1,8,6,3.4905913978494625,1.710158665446359,1,41905,0.08694220892129861,0.21171492972124875,0.2621146803089033,0.9249123274574191,0.4669212106749394,0.5017301037998348,6349,1,4.362734288864388,0.1111111111111111,0.4847482543182653,145,1,6,4.475862068965517,0.1111111111111111,0.4973180076628353,0,290,1,0,0,0.38275862068965516,0.0628352490421456,0,0,0.32394177193585016
primitive_q3_knn4,primitive_integer_directions,canonical_index_gray,290,744,9,9,0,8,1,6,6,2.911290322580645,1.5214175095263776,1,41905,0.17286660041187524,0.20114540126611705,0.24916895360253558,0.8888888888888888,0.4669212106749393,0.5017301037998348,6349,1,4.484958261143487,0.1111111111111111,0.4983286956826097,145,1,5,4.641379310344828,0.1111111111111111,0.5157088122605363,0,290,1,0,0,0.38275862068965516,0.0628352490421456,0,0,0.3239417719358503
primitive_q3_knn4,primitive_integer_directions,cartesian_coordinate_binary,290,744,9,9,0,7,6,6,5,2.4838709677419355,1.3824001507881367,1,41905,0.4336421880715489,0.1661429845318948,0.20710935237702868,0.7777777777777778,0.48644950880960897,0.5017301037998348,6349,2,5.442431879036069,0.2222222222222222,0.6047146532262299,145,2,6,4.510344827586207,0.2222222222222222,0.5011494252873563,0,290,1,0,0,0.11379310344827587,0.08390804597701149,0,0,0.21158077036630726
primitive_q3_knn4,primitive_integer_directions,cartesian_coordinate_gray,290,744,9,9,0,5,48,5,5,1.8709677419354838,1.2112892487431346,1,41905,0.491671223148478,0.1584682683425014,0.19605948393518835,0.7777777777777778,0.49014039692956296,0.5017301037998348,6349,1,5.364939360529217,0.1111111111111111,0.5961043733921353,145,2,6,5.337931034482758,0.2222222222222222,0.593103448275862,0,290,1,0,0,0.08620689655172409,0.07471264367816093,0,0,0.1884989123811666
primitive_q3_knn6,primitive_integer_directions,canonical_index_binary,290,1104,9,9,0,9,4,8,6,3.601449275362319,1.6989547301100294,1,41905,0.08694220892129861,0.21171492972124875,0.2621146803089033,0.9249123274574191,0.4669212106749394,0.5017301037998348,6349,1,4.362734288864388,0.1111111111111111,0.4847482543182653,145,1,6,4.475862068965517,0.1111111111111111,0.4973180076628353,0,290,1,0,0,0.38275862068965516,0.0628352490421456,0,0,0.32394177193585016
primitive_q3_knn6,primitive_integer_directions,canonical_index_gray,290,1104,9,9,0,8,1,6,6,3.097826086956522,1.508260702453607,1,41905,0.17286660041187524,0.20114540126611705,0.24916895360253558,0.8888888888888888,0.4669212106749393,0.5017301037998348,6349,1,4.484958261143487,0.1111111111111111,0.4983286956826097,145,1,5,4.641379310344828,0.1111111111111111,0.5157088122605363,0,290,1,0,0,0.38275862068965516,0.0628352490421456,0,0,0.3239417719358503
primitive_q3_knn6,primitive_integer_directions,cartesian_coordinate_binary,290,1104,9,9,0,7,12,7,5,2.7717391304347827,1.3839394061060466,1,41905,0.4336421880715489,0.1661429845318948,0.20710935237702868,0.7777777777777778,0.48644950880960897,0.5017301037998348,6349,2,5.442431879036069,0.2222222222222222,0.6047146532262299,145,2,6,4.510344827586207,0.2222222222222222,0.5011494252873563,0,290,1,0,0,0.11379310344827587,0.08390804597701149,0,0,0.21158077036630726
primitive_q3_knn6,primitive_integer_directions,cartesian_coordinate_gray,290,1104,9,9,0,5,48,5,4,2.0217391304347827,1.132314490704819,1,41905,0.491671223148478,0.1584682683425014,0.19605948393518835,0.7777777777777778,0.49014039692956296,0.5017301037998348,6349,1,5.364939360529217,0.1111111111111111,0.5961043733921353,145,2,6,5.337931034482758,0.2222222222222222,0.593103448275862,0,290,1,0,0,0.08620689655172409,0.07471264367816093,0,0,0.1884989123811666
