execution_order,graph_id,code_length,target_order_within_instance,target_r,budget_seconds,status,model_sha256,variable_count,constraint_count,wall_time_seconds,user_time_seconds,conflict_count,branch_count,has_feasible_witness,certifies_infeasibility,witness_l_max,witness_codebook_sha256
11,primitive_q2_knn6,7,3,4,900,OPTIMAL,4c5f22420b373bab174293217376de359953cabd10df353706f5de7b4eb0adb7,3136,2789,8.029516000000001,8.029516000000001,402,164444,True,False,4,5edc31e3ccfd225df355ab140efcfc0b6828dcbbb75103a5dfaf29c51e393548
11,primitive_q2_knn6,7,4,5,900,OPTIMAL,975d93c2fecda4123b63ed7bb090d4cd66ea1da3c5c16fce6421dfb8a88def1d,3136,2789,1.6426640000000001,1.6426640000000001,18,156223,True,False,5,77f93948c1dca4237669add075c7866fcd1fee6dcfe14e848c83fac16b7945c6
12,primitive_q2_knn6,9,1,2,3600,UNKNOWN,c116fdd1b71c1d5d37de0ea4aca3cee10d99833a2ecbb354320033768c24047b,4004,3461,3600.0019570000004,3600.0019570000004,255479,55133454,False,False,,
13,primitive_q2_knn8,7,1,2,900,UNKNOWN,58e3f2d5f1551c23ea04847fede8e4b6266cfb44ab07276d42a12dacf0186a0b,3892,3653,900.002185,900.002185,42618,18221396,False,False,,
13,primitive_q2_knn8,7,2,3,900,UNKNOWN,7d0a3faddb61f4fdf21b4f9a9ee2e96948d46b89172b98f0290499847ed43800,3892,3653,900.002415,900.002415,39175,14784032,False,False,,
13,primitive_q2_knn8,7,3,4,900,OPTIMAL,a4e04d3d14236b67324ba67106dba51056a80f41e30d772a5c55184c4b5ab85b,3892,3653,10.020297000000001,10.020297000000001,448,266110,True,False,4,680dda20eb6c82765f3bf444b858cab3beaf1374890d4feea1f03833c998230a
13,primitive_q2_knn8,7,4,5,900,OPTIMAL,3671eec611516e72b242e030545a0ccf322a668740d3b596fb6c637fc9228d16,3892,3653,1.7854500000000002,1.7854500000000002,25,158911,True,False,5,cf5b4de5ac850139e9ac2cf1fbf6e06550e2b50e417890f490c347e2e71c2777
14,primitive_q2_knn8,9,1,2,3600,UNKNOWN,4284909b6de29de985875e379a163ee1674249fdb0b6154ce908887bababb3e4,4976,4541,3600.001364,3600.001364,321462,5397655,False,False,,
15,icosphere_l2,8,1,2,900,UNKNOWN,7d6ac1d41579d1c1b2e89aabaff13d63406e6d8b5c51f454a0f78cd75026bac5,5298,4485,900.003725,900.003725,17799,5241385,False,False,,
15,icosphere_l2,8,2,3,900,UNKNOWN,68fe78e60ca422128b289e74ceb81b94df95114b6db1e30d2fb77ea495a29e14,5298,4485,900.0046150000001,900.0046150000001,25298,4059569,False,False,,
15,icosphere_l2,8,3,4,900,OPTIMAL,2cfc193a04c9642003c0700d0122a9a46e886132cd87ef6392579b96d4a9087b,5298,4485,36.935473,36.935473,1432,267456,True,False,4,d37abcc1b806f5edd94ba5773f0e5b5013a86f7d6eb703e23520aabcd9f75354
15,icosphere_l2,8,4,5,900,OPTIMAL,c5b4d08d2583c6b57ca41382bd32bd07aa6b2680f092d931257759ae9a929761,5298,4485,9.35875,9.35875,184,147915,True,False,5,7bf7413db3aec4e7d3477e0efb7a378317ae4f0f810f0c78caea3183a4b76ee9
15,icosphere_l2,8,5,6,900,OPTIMAL,304cb78f64b1745402b6617d796addac10af7da4db9bc67fa69483e146a55862,5298,4485,2.9255150000000003,2.9255150000000003,27,130434,True,False,6,52e509cc4c6c1f7602d28eb9aabfa9a4292112ae77179267c80a0a849d40b606
15,icosphere_l2,8,6,7,900,OPTIMAL,12af29e265a97dbd2d2ca7413804d41a2d80334a596cb349746629d469664843,5298,4485,2.699328,2.699328,1,130313,True,False,7,6d407aed765757499264e9f554fc89cf39261959fd9c13b12e018c548111e575
16,icosphere_l2,9,1,2,900,UNKNOWN,c038768a5db6bb8fc3381cf31ce40dfffc2c3664ca61caf19aa8de4d2472fd68,5940,4965,900.002328,900.002328,22406,1142589,False,False,,
16,icosphere_l2,9,2,3,900,OPTIMAL,1518f84c1e605ebb4ce050713aa7b7ddd414c84e92c38175717d202b5f753495,5940,4965,495.94741200000004,495.94741200000004,15833,1282282,True,False,3,3d5b152d60d3553af247af924e5bbdb17fc67ad0f9364f602f421daa4232c7c1
16,icosphere_l2,9,3,4,900,OPTIMAL,0af278ac73f788b40f7266a623e406605fdc14522e89990b02567133ca5b479b,5940,4965,107.97903500000001,107.97903500000001,28642,316372,True,False,4,f542e6026da7547eb1dd03d1d396264cb956a3fa75fdcbc246a8d5e3e1391440
16,icosphere_l2,9,4,5,900,OPTIMAL,bc15a04268e33157ace96320e08eda8a1daf3a3834adf5f5c2b60e816d21be92,5940,4965,13.123225000000001,13.123225000000001,1212,105640,True,False,5,edebbc29b8fbcc1443060fd775418c8328cd1cd71ddf30f221e7a257029fa531
